name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
Perth,11/5/2022,22.7,11.6,17.3,22.7,11.6,17.3,9.4,61.2,0,0,0,,0,0,45.4,24.2,175.7,1018.6,1.2,14.8,331,28.8,10,10,2022-11-05T05:15:58,2022-11-05T18:44:47,0.38,Clear,Clear conditions throughout the day.,clear-day,"F4023,94610099999,94609099999,95610099999,94602099999,94614099999,94608099999"
Perth,11/6/2022,24.8,14.1,18.9,24.8,14.1,18.9,11.1,61.6,0.498,100,8.33,rain,0,0,45.7,21,149.2,1010.6,66.7,14.2,252,21.7,10,10,2022-11-06T05:15:09,2022-11-06T18:45:39,0.42,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"F4023,94610099999,94609099999,95610099999,94602099999,94614099999,94608099999"
Perth,11/7/2022,21.6,12.2,17.7,21.6,12.2,17.7,12.4,72.1,0,0,0,,0,0,21.2,16.7,246.4,1008.5,71.3,14.6,311.1,26.9,10,10,2022-11-07T05:14:22,2022-11-07T18:46:31,0.45,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"F4023,94610099999,94609099999,95610099999,94602099999,94614099999,94608099999"
Perth,11/8/2022,22.7,15.1,18.5,22.7,15.1,18.5,12.7,69.6,0,0,0,rain,0,0,32,18.3,178.9,1010.4,42.5,14.5,182.7,15.6,10,10,2022-11-08T05:13:37,2022-11-08T18:47:24,0.5,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"F4023,94610099999,94609099999,YPPH,95610099999,YPJT,94602099999,YPEA,94614099999,94608099999"
Perth,11/9/2022,22.7,13.8,18.3,22.7,13.8,18.3,12.2,69.1,0.008,100,4.17,rain,0,0,20.9,19.4,239.1,1011.4,20.9,14.8,238.4,20.6,10,10,2022-11-09T05:12:53,2022-11-09T18:48:17,0.52,"Rain, Partially cloudy",Clearing in the afternoon with morning rain.,rain,"F4023,94610099999,94609099999,95610099999,94602099999,94614099999,94608099999"
Perth,11/10/2022,21.2,10.6,16.3,21.2,10.6,16.3,11.8,75.9,3.759,100,12.5,rain,0,0,39.2,19,250.2,1010.9,74.1,13.9,129.4,11,5,10,2022-11-10T05:12:10,2022-11-10T18:49:10,0.56,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"F4023,94610099999,94609099999,95610099999,94602099999,94614099999,94608099999"
Perth,11/11/2022,19,11.5,15.4,19,11.5,15.4,7.4,60.3,0.553,100,8.33,rain,0,0,38.9,24.9,192.9,1015.4,25.6,14.6,181.5,15.7,7,10,2022-11-11T05:11:29,2022-11-11T18:50:03,0.59,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"F4023,94610099999,94609099999,95610099999,94602099999,94614099999,94608099999"
Perth,11/12/2022,19,6.8,14.3,19,6.8,14.3,6.1,59.1,0,0,0,,0,0,41.8,21.5,188.9,1018.7,17.3,14.5,185.6,16.3,9,10,2022-11-12T05:10:49,2022-11-12T18:50:57,0.62,Clear,Clear conditions throughout the day.,clear-day,"F4023,94610099999,94609099999,95610099999,94602099999,94614099999,94608099999"
Perth,11/13/2022,21,11.2,16.4,21,11.2,16.4,8.6,60.8,0,0,0,,0,0,41.8,20.1,174.2,1020.9,29.2,14.8,189.9,16.4,7,10,2022-11-13T05:10:11,2022-11-13T18:51:50,0.65,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"F4023,94610099999,94609099999,95610099999,94602099999,94614099999,94608099999"
Perth,11/14/2022,24.3,11.7,17.6,24.3,11.7,17.6,6.5,50,0,0,0,,0,0,44.6,19.3,94.8,1021.1,0,14.8,336,29.2,10,10,2022-11-14T05:09:35,2022-11-14T18:52:44,0.68,Clear,Clear conditions throughout the day.,clear-day,"F4023,94610099999,94609099999,95610099999,94602099999,94614099999,94608099999"
